編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQKKHKGFAT56DA,田厝段,34.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,20850000
RPPNMLQKKHKGFAT56DA,田厝段,16.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,20850011
RPSOMLKLKHKGFDT76DA,大鵬段,148.39,都市：其他:遊憩區,120,15,持分移轉,08500001
RPSOMLKLKHKGFDT76DA,大鵬段,1504.50,都市：其他:遊憩區,1,1,全筆移轉,08500022
RPTNMLNKKHKGFCT86DA,新埔段,22.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,136,持分移轉,02800000
RPRNMLLLKHKGFAT98DA,新歸來段,46.82,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,12950000
RPQNMLKKKHKGFCT88DA,新埔段,35.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,216,持分移轉,02800000
RPPNMLLLKHKGFCT09EA,民生段,149.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,10,持分移轉,09200000
RPPNMLOKKHKGFAT09EA,九清段,.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,136260,30,持分移轉,03380000
RPPNMLOKKHKGFAT09EA,九清段,1.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,136260,2250,持分移轉,03380005
RPPNMLOKKHKGFAT09EA,九清段,207.42,非都市：鄉村區 ; 非都市編定：乙種建築用地,1405600,171100,持分移轉,03390000
RPRNMLOLKHKGFCT86DA,華興段,35.32,都市：其他:住宅區,1,1,全筆移轉,06180000
RPRNMLOLKHKGFCT86DA,華興段,24.94,都市：其他:住宅區,1,1,全筆移轉,06190000
RPSOMLTKKHKGFDT57DA,新洋段,1240.00,非都市：一般農業區 ; 非都市編定：窯業用地,1,1,全筆移轉,04760000
RPPNMLTKKHKGFBT96DA,塩北段,6.53,都市：其他:住宅區,900,6,持分移轉,03380000
RPRNMLTKKHKGFCT27DA,崙東段,2971.02,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00580000
RPQNMLOLKHKGFCT76DA,見月段,8990.79,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08140000
RPPNMLNLKHKGFDT66DA,新洋段,793.50,非都市：一般農業區 ; 非都市編定：窯業用地,2,1,持分移轉,10800000
RPPNMLNLKHKGFDT66DA,新洋段,816.60,非都市：一般農業區 ; 非都市編定：窯業用地,10,6,持分移轉,10840000
RPTNMLOLKHKGFDT17DA,嘉南段,114.96,都市：其他:住宅區,1,1,全筆移轉,04300000
RPUNMLMKKHKGFDT96DA,新南段,1526.00,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,02200000
RPUNMLMKKHKGFDT96DA,新南段,9.26,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,02300000
RPUNMLMKKHKGFDT96DA,新南段,14.48,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,02310000
RPTNMLKKKHKGFDT66DA,新吉段,32.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,01010009
RPRNMLSKKHKGFET37DA,萬里桐段,4.15,非都市：國家公園區 ; 非都市編定：,280,5,持分移轉,00990000
RPSOMLKKKHKGFAT98DA,社上段,.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,140721,94,持分移轉,11720010
RPSOMLKKKHKGFAT98DA,社上段,.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,140721,94,持分移轉,11720025
RPSOMLKKKHKGFAT98DA,社上段,36.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,206,持分移轉,11730009
RPSOMLKKKHKGFAT98DA,社上段,1.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,206,持分移轉,11730010
RPSOMLKKKHKGFAT98DA,社上段,11.82,非都市：鄉村區 ; 非都市編定：乙種建築用地,98532,1182,持分移轉,11730012
RPRNMLKLKHKGFFT86EA,保生段,100.36,都市：其他:商業區,1,1,全筆移轉,09910000
RPQNMLLKKHKGFBT88DA,大山段,1347.64,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04070000
RPOOMLKLKHKGFCT88DA,萬和段,6.00,都市：其他:商業區,450000,3333,持分移轉,10580000
RPOOMLKLKHKGFCT88DA,萬和段,.04,都市：其他:商業區,450000,3333,持分移轉,10680000
RPPOMLKLKHKGFCT98DA,萬和段,.14,都市：其他:道路用地,450000,3333,持分移轉,10580001
RPPOMLKLKHKGFCT98DA,萬和段,.14,都市：其他:道路用地,450000,3333,持分移轉,10580002
RPPOMLKLKHKGFCT98DA,萬和段,.94,都市：其他:道路用地,100000,2222,持分移轉,10670000
RPPOMLKLKHKGFCT98DA,萬和段,.45,都市：其他:機關用地,100000,2222,持分移轉,10670001
RPPOMLKLKHKGFCT98DA,萬和段,.56,都市：其他:道路用地,450000,3333,持分移轉,10680001
RPPOMLKLKHKGFCT98DA,萬和段,.22,都市：其他:機關用地,100000,2222,持分移轉,10770000
RPQNMLPLKHKGFCT86DA,佳興段,9415.00,非都市：山坡地保育區 ; 非都市編定：林業用地,2,1,持分移轉,03730000
RPXNMLPLKHKGFCT57DA,神農段,128.30,都市：其他:農業區,6075,584,持分移轉,12240000
RPXNMLPLKHKGFCT57DA,神農段,18.35,都市：其他:農業區,6075,584,持分移轉,12250000
RPXNMLPLKHKGFCT57DA,神農段,364.56,都市：其他:農業區,6075,584,持分移轉,12840000
RPXNMLPLKHKGFCT57DA,神農段,32.22,都市：其他:農業區,6075,584,持分移轉,12850000
RPPNMLOLKHKGFAT56EA,大春段,99.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01520000
RPPNMLLLKHKGFDT56EA,南糖段,62.90,都市：其他:住宅區,1,1,全筆移轉,08420000
RPPNMLLLKHKGFDT56EA,南糖段,5.88,都市：其他:住宅區,1,1,全筆移轉,08420001
RPRNMLOLJHKGFAT56DA,大溪段,2809.71,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08790000
RPWNMLTKKHKGFAT57DA,溝美段一小段,121.98,都市：其他:住宅區,1,1,全筆移轉,03790000
RPRNMLRJKHKGFBT86DA,興中段,480.00,都市：住,1,1,全筆移轉,08800000
RPQNMLKLKHKGFCT98DA,大同段,83.58,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12210000
RPQNMLKLKHKGFCT98DA,大同段,82.77,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12230000
RPQNMLKLKHKGFCT98DA,大同段,82.04,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12240000
RPTNMLOLKHKGFET27DA,牡丹段,12124.80,非都市：山坡地保育區 ; 非都市編定：林業用地,10,6,持分移轉,07680001
RPUNMLOLKHKGFET37DA,牡丹段,2020.80,非都市：山坡地保育區 ; 非都市編定：林業用地,10,1,持分移轉,07680001
RPWNMLLLKHKGFET27DA,公順段,5.77,都市：其他:住宅區,10000,27,持分移轉,13220000
RPVNMLLLKHKGFET17DA,八瑤段,10000.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,00360003
RPWNMLPLKHKGFAT27DA,勝興段,12.71,都市：其他:住宅區,1000,97,持分移轉,13800003
RPWNMLPLKHKGFAT27DA,勝興段,8.34,都市：其他:住宅區,1000,97,持分移轉,14520001
RPPNMLLKJHKGFDT88DA,永樂段,137.33,都市：其他:住宅區,1,1,全筆移轉,03330000
RPQNMLTKKHKGFAT07EA,萬生段,14.00,都市：其他:道路用地,1,1,全筆移轉,06590000
RPQNMLTKKHKGFAT07EA,萬生段,65.00,都市：其他:道路用地,1,1,全筆移轉,06600000
RPUNMLTKKHKGFAT37DA,水源段二小段,106.00,都市：其他:住宅區,1,1,全筆移轉,08160000
RPUNMLPJKHKGFCT07DA,蓬萊段,218.54,非都市：鄉村區 ; 非都市編定：交通用地,2,1,持分移轉,04870000
RPUNMLPJKHKGFCT07DA,蓬萊段,470.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04890000
RPPNMLQJKHKGFFT96DA,北玄段,18.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03400000
RPPNMLQJKHKGFFT96DA,北玄段,110.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03540000
RPRNMLQJKHKGFCT86DA,新埔段,29.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,179,持分移轉,02800000
RPVNMLSKKHKGFCT57DA,萬和段,765.00,都市：其他:住宅區,1,1,全筆移轉,14080000
RPPNMLTKKHKGFDT27EA,福德段,42.44,都市：其他:商業區,1,1,全筆移轉,01400000
RPQNMLRJKHKGFET07DA,城南段,30.02,都市：其他:住宅區,1,1,全筆移轉,10050000
RPQNMLRJKHKGFET07DA,城南段,275.01,都市：其他:住宅區,1,1,全筆移轉,10060000
RPQNMLRJKHKGFET07DA,城南段,46.27,都市：其他:道路用地,1,1,全筆移轉,10070000
RPPNMLQLKHKGFBT86EA,馬兒段,6250.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02840000
RPPNMLQLKHKGFBT86EA,馬兒段,3650.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03060000
RPPNMLQLKHKGFBT86EA,馬兒段,4700.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03480000
RPPNMLQLKHKGFBT86EA,馬兒段,930.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07740000
RPPNMLQLKHKGFBT86EA,馬兒段,700.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07860000
RPSOMLKLKHKGFCT66DA,劉厝庄段,256.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03710000
RPPNMLTKKHKGFAT86DA,萬年段,75.00,都市：其他:住宅區,1,1,全筆移轉,10360000
RPRNMLTKKHKGFDT37DA,大潭新庄段,1000.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00570003
RPRNMLSKKHKGFDT27DA,大埔段,2181.25,都市：其他:農業區,1,1,全筆移轉,07030000
RPQNMLTKKHKGFDT27DA,三千段,4406.54,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03550000
RPSNMLTKKHKGFDT47DA,大潭新庄段,1005.68,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00570002
SPSNMLTKKHKGFDT57DA,大潭新庄段,86.56,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,00570004
SPRNMLTKKHKGFDT47DA,大潭新庄段,86.56,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,00570004
RPQNMLTKKHKGFET37DA,恆東段,85.86,都市：其他:住宅區,1,1,全筆移轉,03070004
RPPNMLLLKHKGFAT88EA,建國段,3.00,都市：其他:住宅區,1,1,全筆移轉,07620000
RPPNMLLLKHKGFAT88EA,建國段,96.00,都市：其他:住宅區,1,1,全筆移轉,07620001
RPPNMLLLKHKGFAT88EA,建國段,7.00,都市：其他:道路用地,1,1,全筆移轉,07620003
RPTNMLLKKHKGFAT09DA,社西段,1358.26,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00430000
RPPNMLTKKHKGFAT96EA,萬生段,106.00,都市：其他:道路用地,1,1,全筆移轉,06570000
RPRNMLKLKHKGFAT88DA,福光段,18.29,都市：其他:住宅區,10000,57,持分移轉,02310000
RPUNMLNKKHKGFCT96DA,東寧段,31.57,都市：其他:住宅區,10000,252,持分移轉,05610000
RPSNMLLKKHKGFCT56DA,上龍泉段,73.86,都市：其他:農業區,20,1,持分移轉,07580000
RPSNMLLKKHKGFCT56DA,上龍泉段,627.50,都市：其他:農業區,2,1,持分移轉,07580007
RPPNMLLLKHKGFCT98DA,新厝段一小段,4000.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02220000
RPVNMLSKKHKGFDT67DA,頂愛段,4405.52,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08660000
SPTNMLTKKHKGFDT67DA,大潭新庄段,86.56,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,00570004
RPVNMLTKKHKGFDT77DA,大潭新庄段,1000.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00570005
RPVNMLTKKHKGFDT77DA,大潭新庄段,454.55,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00570006
RPXNMLLKKHKGFAT86DA,溝美段一小段,34.30,都市：其他:住宅區,10000,208,持分移轉,02880000
SPVNMLTKKHKGFDT87DA,大潭新庄段,86.56,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,00570004
RPPNMLOLKHKGFDT76DA,相埔段,218.31,都市：其他:住宅區,1,1,全筆移轉,05390003
RPSNMLTKKHKGFET57DA,公順段,85.68,都市：其他:住宅區,1,1,全筆移轉,03170000
RPQNMLKLKHKGFET56DA,宣化段,5060.26,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08060000
RPTNMLNJKHKGFAT56DA,檳榔腳段二小段,29.70,都市：其他:住宅區,10,1,持分移轉,11220002
RPPNMLLLKHKGFFT66DA,東海段,430.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,07370000
RPPNMLKLKHKGFAT68DA,建國段,11.30,都市：其他:住宅區,120,4,持分移轉,15520000
RPPNMLKLKHKGFAT68DA,建國段,73.00,都市：其他:住宅區,1,1,全筆移轉,15610000
RPPNMLNKKHKGFCT09DA,海豐段,2003.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02340000
RPQNMLNKKHKGFCT56DA,海豐段,2003.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02340002
RPQOMLKLKHKGFCT09DA,圳頭段,1200.75,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11470000
RPQNMLLLKHKGFCT09DA,壽比段,17.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,83,持分移轉,08840000
RPTNMLNKKHKGFDT96DA,新南段,30.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05330000
RPTNMLNKKHKGFDT96DA,新南段,62.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05340000
RPTNMLNKKHKGFDT96DA,新南段,56.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05350000
RPUNMLTKKHKGFDT67DA,大潭新庄段,1005.70,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00570001
SPUNMLTKKHKGFDT77DA,大潭新庄段,86.56,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,00570004
RPQNMLTKKHKGFAT96DA,豐田段,.32,都市：其他:住宅區,10000,638,持分移轉,04310001
RPQNMLTKKHKGFAT96DA,豐田段,28.96,都市：其他:住宅區,10000,638,持分移轉,04310004
RPQNMLLLKHKGFET66DA,花海段,3.41,都市：其他:住宅區,20,1,持分移轉,04900000
RPQNMLLLKHKGFET66DA,花海段,1.86,都市：其他:住宅區,20,1,持分移轉,04920000
RPQNMLLLKHKGFET66DA,花海段,.49,都市：其他:道路用地,20,1,持分移轉,04990000
RPQNMLLLKHKGFET66DA,花海段,.06,都市：其他:住宅區,20,1,持分移轉,05020000
RPQNMLLLKHKGFET66DA,花海段,10.38,都市：其他:住宅區,20,1,持分移轉,05120000
RPQNMLLLKHKGFET66DA,花海段,20.76,都市：其他:住宅區,20,1,持分移轉,05210000
RPQNMLLLKHKGFET66DA,花海段,40.76,都市：其他:住宅區,20,1,持分移轉,05220000
RPRNMLLLKHKGFET76DA,後壁湖段,167.73,非都市：國家公園區 ; 非都市編定：,1,1,全筆移轉,07310006
RPRNMLOLKHKGFET07DA,僑勇段,47.49,,1,1,全筆移轉,01140002
RPRNMLOLKHKGFET07DA,僑勇段,19.77,,1,1,全筆移轉,01140003
RPPNMLPLKHKGFCT86EA,新埔段,1212.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,07490002
RPSNMLLKKHKGFET76DA,恆南段,9.30,都市：其他:住宅區,14540,93,持分移轉,01540000
RPTNMLTKKHKGFDT57DA,大潭新庄段,1242.63,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00570000
RPSNMLPLKHKGFCT07DA,壽比段,19.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,89,持分移轉,08840000
RPUNMLPLKHKGFCT27DA,新東段,386.66,都市：其他:農業區,1,1,全筆移轉,02090009
RPPOMLKLKHKGFDT09DA,光林段,3.89,都市：其他:住宅區,10,4,持分移轉,00390000
RPPOMLKLKHKGFDT09DA,光林段,3.02,都市：其他:住宅區,10,4,持分移轉,00400000
RPPOMLKLKHKGFDT09DA,光林段,128.24,都市：其他:住宅區,10,4,持分移轉,00410000
RPPOMLKLKHKGFDT09DA,光林段,31.51,都市：其他:住宅區,10,4,持分移轉,00420000
RPOOMLKLKHKGFDT98DA,嘉南段,190.01,都市：其他:住宅區,100000,31429,持分移轉,06900003
SPOOMLKLKHKGFDT09DA,嘉南段,10.97,都市：其他:道路用地,350,33,持分移轉,06900001
SPOOMLKLKHKGFDT09DA,嘉南段,23.48,都市：其他:道路用地,350,33,持分移轉,06900002
SPUNMLPLKHKGFCT37DA,新東段,28.06,,10,1,持分移轉,01930004
SPUNMLPLKHKGFCT37DA,新東段,34.06,都市：其他:農業區,10,1,持分移轉,02090000
SPUNMLPLKHKGFCT37DA,新東段,13.09,,10,1,持分移轉,02090001
RPWNMLPLKHKGFCT47DA,五魁段,2711.51,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00420000
RPQNMLSKKHKGFDT17DA,新洋段,3209.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05990000
RPSNMLSKKHKGFAT07DA,香社段,48.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09210017
RPTOMLRKKHKGFAT17DA,大進段,36.44,非都市：一般農業區 ; 非都市編定：甲種建築用地,1000000,25024,持分移轉,02790000
RPVNMLSKKHKGFAT37DA,新潭段,.47,都市：其他:住宅區,100,4,持分移轉,04800000
RPVNMLSKKHKGFAT37DA,新潭段,1.31,都市：其他:住宅區,22864400,87438,持分移轉,04810000
RPVNMLSKKHKGFAT37DA,新潭段,2.39,都市：其他:住宅區,22864400,401869,持分移轉,04850000
RPVNMLSKKHKGFAT37DA,新潭段,.67,都市：其他:農業區,40,1,持分移轉,04860009
RPVNMLSKKHKGFAT37DA,新潭段,2077.39,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06430003
RPVNMLSKKHKGFAT37DA,新潭段,64.23,都市：其他:農業區,6,1,持分移轉,06440000
RPVNMLSKKHKGFAT37DA,新潭段,167.97,都市：其他:農業區,1,1,全筆移轉,06440005
RPVNMLSKKHKGFAT37DA,新潭段,19.09,都市：其他:農業區,3,2,持分移轉,06440020
RPPOMLSKKHKGFAT86DA,歸義段,5319.18,非都市：一般農業區 ; 非都市編定：農牧用地,6400,5054,持分移轉,13280000
RPQOMLSKKHKGFAT96DA,歸義段,1416.63,非都市：一般農業區 ; 非都市編定：農牧用地,6400,1346,持分移轉,13280000
RPRNMLKLKHKGFCT09DA,大同段,83.58,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12210000
RPRNMLKLKHKGFCT09DA,大同段,82.77,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12230000
RPRNMLKLKHKGFCT09DA,大同段,82.04,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12240000
RPRNMLOLKHKGFAT66DA,香潭段,441.42,都市：其他:農業區,1,1,全筆移轉,03410003
RPPNMLOLKHKGFAT09DA,九仁段,86.79,都市：其他:住宅區,1,1,全筆移轉,10440000
RPPNMLTKKHKGFET27DA,公順段,79.18,都市：其他:住宅區,1,1,全筆移轉,00800000
RPUNMLOLJHKGFAT86DA,公園段一小段,69.00,都市：其他:商業區,1,1,全筆移轉,00640083
RPSQMLPJKHKGFAT96DA,瑞光段,17.35,都市：其他:住宅區,10000,70,持分移轉,04730002
RPTQMLPJKHKGFAT07DA,勝興段,48.00,都市：其他:道路用地,1,1,全筆移轉,00300012
RPQNMLKLKHKGFAT78DA,北平段,.05,都市：其他:道路用地,20000,223,持分移轉,00610000
RPQNMLKLKHKGFAT78DA,北平段,11.08,都市：其他:住宅區,20000,223,持分移轉,00620000
RPQNMLKLKHKGFAT78DA,北平段,2.49,都市：其他:道路用地,20000,223,持分移轉,00630000
RPQNMLLLKHKGFAT88DA,九如段,1170.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,27020000
SPQNMLLLKHKGFAT98DA,九如段,116.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,27000000
TPQNMLLLKHKGFAT09DA,九如段,69.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,27010000
RPPNMLPLKHKGFDT96EA,頂安段,7.83,都市：其他:住宅區,1,1,全筆移轉,03420000
RPPNMLPLKHKGFDT96EA,頂安段,251.48,都市：其他:住宅區,1,1,全筆移轉,03440000
RPWNMLMLJHKGFCT07DA,昭勝段,13.96,都市：其他:農業區,5,1,持分移轉,00250000
RPWNMLMLJHKGFCT07DA,昭勝段,6.77,都市：其他:農業區,5,1,持分移轉,00250002
RPWNMLMLJHKGFCT07DA,昭勝段,26.82,都市：其他:農業區,5,1,持分移轉,00250003
RPWNMLMLJHKGFCT07DA,昭勝段,333.89,都市：其他:農業區,1,1,全筆移轉,00250007
RPWNMLMLJHKGFCT07DA,昭勝段,29.06,都市：其他:農業區,5,1,持分移轉,00260000
RPOPMLRKKHKGFCT96DA,上龍泉段,10.26,都市：其他:農業區,14,1,持分移轉,12110000
RPOPMLRKKHKGFCT96DA,上龍泉段,78.99,都市：其他:農業區,118517,7899,持分移轉,12120000
RPOPMLRKKHKGFCT96DA,上龍泉段,363.63,都市：其他:農業區,1,1,全筆移轉,12120015
RPTNMLOLKIJGFBT96DA,磚仔地段,2960.39,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07440000
RPTNMLOLKIJGFBT96DA,磚仔地段,4508.11,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07550000
RPPNMLSKKHKGFDT07DA,仙吉段,53.51,都市：其他:農業區,798620,53510,持分移轉,01260000
RPPNMLSKKHKGFDT07DA,仙吉段,207.10,都市：其他:農業區,1,1,全筆移轉,01260001
RPUNMLSKKHKGFDT57DA,中洲段,29.46,都市：其他:人行步道用地,1,1,全筆移轉,04250000
RPUNMLSKKHKGFDT57DA,中洲段,94.30,都市：其他:住宅區,1,1,全筆移轉,04280000
RPUNMLSKKHKGFDT57DA,中洲段,47.39,都市：其他:道路用地,1,1,全筆移轉,04320000
RPROMLPLKHKGFAT86DA,新街段二小段,116.00,都市：其他:住宅區,1,1,全筆移轉,04910003
RPXNMLMLJHKGFAT96DA,萬年段,21.44,都市：其他:住宅區,10000,84,持分移轉,08960000
RPVOMLKLKHKGFAT76DA,九北段,31.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,20,5,持分移轉,01240000
RPVOMLKLKHKGFAT76DA,九北段,26.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,20,5,持分移轉,01290000
RPVOMLKLKHKGFAT76DA,九北段,472.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01310000
RPVOMLKLKHKGFAT76DA,九北段,7.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,160,5,持分移轉,01350000
RPVOMLKLKHKGFAT76DA,九北段,7.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,80,5,持分移轉,01370000
RPXNMLLLJHKGFAT86DA,麟孝段,78.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04640010
RPXNMLLLJHKGFAT86DA,麟孝段,.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04650001
RPWNMLLLJHKGFAT76DA,林內段,51.80,都市：其他:住宅區,100000,92,持分移轉,14240000
RPPNMLPKJHKGFCT56DA,頓物段,264.26,都市：其他:住宅區,1,1,全筆移轉,06270000
RPOOMLOJKHKGFCT09DA,東寧段,38.46,都市：其他:住宅區,10000,307,持分移轉,05610000
RPSNMLTKKHKGFCT37DA,振豐段,88.06,都市：其他:農業區,1,1,全筆移轉,12330000
RPRNMLNKKHKGFCT66DA,大同段,80.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11630000
RPRNMLNKKHKGFCT66DA,大同段,17.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,184,持分移轉,11870000
RPXNMLLKKHKGFCT07DA,五魁寮段一小段,25.24,都市：其他:住宅區,10000,164,持分移轉,01940000
RPTNMLTKKHKGFCT47DA,頭溝水段,3397.08,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06460000
RPPQMLPJKHKGFAT66DA,香揚段,126.00,都市：其他:住宅區,1,1,全筆移轉,00160002
